Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-08-25,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-47.2,47.4,94.6
2026-08-25,BLK,"BLACKROCK, INC.",Financials,Financials,64.9,86.7,21.8
2026-08-25,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,1.8,71.6,69.8
2026-08-25,BNY,THE BANK OF NEW YORK MELLON ,Financials,Financials,27.6,55.4,27.8
2026-08-25,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,83.2,97.0,13.8
2026-08-25,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,-67.8,28.8,96.6
2026-08-25,BRO,"BROWN & BROWN, INC.",Financials,Financials,-43.2,55.0,98.2
2026-08-25,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,79.3,88.3,9.0
2026-08-25,BTC=F,BITCOIN FUTURES,,Futures,89.6,98.6,9.0
2026-08-25,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-39.3,8.5,47.8
2026-08-25,BTU,PEABODY ENERGY ,,MR Discretion,74.2,80.0,5.8
2026-08-25,BX,BLACKSTONE INC,Financials,Financials,16.6,69.6,53.0
2026-08-25,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-26.5,60.1,86.6
2026-08-25,C,CITIGROUP INC.,Financials,Financials,-23.9,41.1,65.0
2026-08-25,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,1.3,82.3,81.0
2026-08-25,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-44.8,55.0,99.8
2026-08-25,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,-71.0,20.0,91.0
2026-08-25,CANE,TEUCRIUM:SUGAR,,Commodities,36.8,99.4,62.6
2026-08-25,CARR,CARRIER GLOBAL ,Industrials,Industrials,-47.9,33.1,81.0
2026-08-25,CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,Consumer Staples,-26.9,15.3,42.2
2026-08-25,CAT,CATERPILLAR INC.,Industrials,Industrials,-53.3,18.1,71.4
2026-08-25,CB,CHUBB LTD,Financials,Financials,-92.8,1.0,93.8
2026-08-25,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,32.9,43.5,10.6
2026-08-25,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,-27.0,51.0,78.0
2026-08-25,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,61.5,68.5,7.0
2026-08-25,CCJ,CAMECO ,,MR Discretion,82.0,94.2,12.2
2026-08-25,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,-29.0,26.0,55.0
2026-08-25,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,18.1,37.1,19.0
2026-08-25,CDW,CDW ,Information Technology,Information Technology,-8.1,58.5,66.6
2026-08-25,CEG,CONSTELLATION ENERGY,Utilities,Utilities,51.2,80.4,29.2
2026-08-25,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,27.5,59.7,32.2
2026-08-25,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,-79.3,10.9,90.2
2026-08-25,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,2.6,69.2,66.6
2026-08-25,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,-28.9,12.5,41.4
2026-08-25,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,15.4,81.2,65.8
