Ticker,Ticker_name,Category,Date,model_score
NVR,"NVR, INC.",Consumer Discretionary,2026-09-25,-77.0
META,"META PLATFORMS, INC.",Communication Services,2026-09-25,-70.0
TECH,BIO-TECHNE ,Health Care,2026-09-25,-69.0
RVTY,"REVVITY, INC.",Health Care,2026-09-25,-67.0
CVNA,CARVANA CO.,Consumer Discretionary,2026-09-25,-62.0
EWL,ISHARES:MSCI SWITZERLAND,Foreign,2026-09-25,-61.0
FICO,FAIR ISAAC ,Information Technology,2026-09-25,-60.0
TSLA,"TESLA, INC.",Consumer Discretionary,2026-09-25,-57.0
HOOD,"ROBINHOOD MARKETS, INC.",Financials,2026-09-25,-53.0
ABBV,ABBVIE INC.,Health Care,2026-09-25,-52.0
