Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-09-10,PWR,"QUANTA SERVICES, INC.",626.98,-0.0189,583.92,657.68,-1.4026058631921874,77.0,31.0
2026-09-10,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,58.9,0.0512,47.18,58.8,,76.0,0.0
2026-09-10,TXN,TEXAS INSTRUMENTS INC.,261.59,0.0103,244.0,264.58,-5.882943143812683,75.0,0.0
2026-09-10,ANET,"ARISTA NETWORKS, INC.",192.93,-0.0104,180.47,205.11,-1.0229885057471264,75.0,13.0
2026-09-10,EWU,ISHARES:MSCI UK,47.83,-0.0108,47.19,49.72,2.9531249999999982,72.0,15.0
2026-09-10,WEC,"WEC ENERGY GROUP, INC.",106.15,-0.0085,103.38,108.22,-1.3381642512077387,-74.0,-52.0
2026-09-10,SPGI,S&P GLOBAL INC.,418.36,-0.0255,420.06,457.8,,-74.0,-37.0
2026-09-10,ZTS,ZOETIS INC.,73.31,-0.0034,72.53,77.97,5.974358974358961,-79.0,-59.0
2026-09-10,RSG,"REPUBLIC SERVICES, INC.",222.47,0.0038,218.94,228.53,1.7167138810198301,-82.0,-42.0
2026-09-10,KDP,KEURIG DR PEPPER INC.,32.08,-0.0144,31.9,33.91,10.166666666666673,-93.0,-10.0
