Ticker,Ticker_name,Category,Date,wtd_return_pct
GLATF,GLOBAL ATOMIC ,MR Discretion,2026-09-25,-0.3095
GEN,GEN DIGITAL INC.,Information Technology,2026-09-25,-0.2547
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2026-09-25,-0.1383
PAYX,"PAYCHEX, INC.",Industrials,2026-09-25,-0.1272
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-09-25,-0.1191
CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,2026-09-25,-0.102
TTD,"THE TRADE DESK, INC.",Communication Services,2026-09-25,-0.0948
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-09-25,-0.0943
FSLR,"FIRST SOLAR, INC.",Information Technology,2026-09-25,-0.0931
FICO,FAIR ISAAC ,Information Technology,2026-09-25,-0.0912
