Ticker,Ticker_name,Category,Date,Spread_Quad,Spread_Score
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-09-04,2,507.7122
MUB,ISHARES:NATL MUNI BOND,Bonds,2026-09-04,2,107.9317
EWZ,ISHARES:MSCI BRAZIL,Foreign,2026-09-04,2,91.5318
XLU,SEL SECTOR:UTIL SPDR,Sector & Style ETFs,2026-09-04,2,87.7332
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-09-04,2,85.0208
FXC,INVESCO:CANADIAN DOLLAR,Currencies,2026-09-04,2,61.0782
THD,ISHARES:MSCI THAI,Foreign,2026-09-04,2,55.3616
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-09-04,2,40.2965
XLF,SEL SECTOR:FINL S SPDR,Sector & Style ETFs,2026-09-04,2,39.3188
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,2026-09-04,2,38.5008
