Ticker,Ticker_name,Category,Date,change_pct
SWKS,"SKYWORKS SOLUTIONS, INC.",Information Technology,2026-09-25,-0.1212
IT,"GARTNER, INC.",Information Technology,2026-09-25,-0.0929
TTD,"THE TRADE DESK, INC.",Communication Services,2026-09-25,-0.0929
MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,2026-09-25,-0.0855
META,"META PLATFORMS, INC.",Communication Services,2026-09-25,-0.0761
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-09-25,-0.0721
ISRG,"INTUITIVE SURGICAL, INC.",Health Care,2026-09-25,-0.0593
MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,2026-09-25,-0.059
ZTS,ZOETIS INC.,Health Care,2026-09-25,-0.0557
FISV,"FISERV, INC.",Financials,2026-09-25,-0.0499
