Ticker,Ticker_name,Category,Date,model_score_wtd_change,current_model_score,previous_model_score
CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,2026-09-25,-84.0,-8.0,76.0
SCHW,THE CHARLES SCHWAB ,Financials,2026-09-25,-84.0,-13.0,71.0
EWA,ISHARES:MSCI AUSTRALIA,Foreign,2026-09-25,-76.0,-14.0,62.0
L,LOEWS ,Financials,2026-09-25,-73.0,-26.0,47.0
DLTR,"DOLLAR TREE, INC.",Consumer Staples,2026-09-25,-68.0,-8.0,60.0
EWL,ISHARES:MSCI SWITZERLAND,Foreign,2026-09-25,-67.0,-61.0,6.0
ICL,ICL GROUP LTD,MR Discretion,2026-09-25,-67.0,-15.0,52.0
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-09-25,-67.0,-5.0,62.0
XES,SPDR S&P OIL&GAS E&S,MR Discretion,2026-09-25,-67.0,-15.0,52.0
XLP,SEL SECTOR:C STP SPDR,Sector & Style ETFs,2026-09-25,-66.0,-33.0,33.0
