Ticker,Ticker_name,Category,Date,volume
NVDA,NVIDIA ,Information Technology,2026-09-25,2001.53
INTC,INTEL ,Information Technology,2026-09-25,1962.91
PCG,PG&E ,Utilities,2026-09-25,956.15
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-09-25,897.35
RIG,TRANSOCEAN LTD,MR Discretion,2026-09-25,814.47
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2026-09-25,799.41
AAPL,APPLE INC.,Information Technology,2026-09-25,778.01
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-09-25,776.52
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-09-25,775.82
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-09-25,707.21
