Date,Ticker,Ticker_name,Category,Close,lt_pt_sm,change_pct,Ivol,rvol,prem_disc,model_score,Spread_Quad,rating,day_rr_ratio,week_rr_ratio,month_rr_ratio,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_dn,day_up,week_dn,week_up,month_dn,month_up
2026-07-10,A,"AGILENT TECHNOLOGIES, INC.",Health Care,134.29,138.82,0.0337,0.315,0.31317229,0.005836116598949337,-31.0,1,Sell,-1.6647398843930616,1.226260257913249,-1.0377768128528002,125.65,139.48,117.23,155.21,110.39,157.32,-0.06433837217961114,0.03864770273289153,-0.12703849877131568,0.15578226226822567,-0.17797304341350806,0.1714945267704222
2026-07-10,AAPL,APPLE INC.,Information Technology,315.32,324.15,0.028,0.2633,0.34255601,-0.23136657272485173,-28.0,4,Sell,-1.0941949616648428,-1.6392604248623128,-1.3862854686156494,295.34,333.58,273.65,340.74,250.83,361.84,-0.06336420144614996,0.05790942534568044,-0.13215146517823173,0.08061651655461133,-0.2045223899530635,0.14753266522897368
2026-07-10,ABBV,ABBVIE INC.,Health Care,248.08,274.01,0.1045,0.3083,0.3686537,-0.1637138051238871,3.0,4,Neutral,4.232704402515712,2.2993946064942192,1.1255656108597274,241.72,275.0,229.91,289.86,203.88,297.83,-0.02563689132537894,0.10851338277974842,-0.07324250241857466,0.16841341502741058,-0.1781683327958724,0.20054014833924527
2026-07-10,ABNB,"AIRBNB, INC.",Consumer Discretionary,148.62,148.72,0.0007,0.4352,0.36125618,0.2046852734809963,-40.0,2,Sell,-1.5911949685534659,1.0103833865814693,-1.6931388438681805,141.03,153.39,136.1,161.27,117.28,167.13,-0.05106984255147362,0.03209527654420663,-0.08424169021666006,0.08511640425245592,-0.21087336832189474,0.1245458215583366
2026-07-10,ABT,ABBOTT LABORATORIES,Health Care,93.93,95.46,0.0163,0.3648,0.27793088,0.312556560825483,-50.0,2,Sell,5.379310344827532,1.043624161073824,-1.1721556886227553,92.77,100.17,84.99,103.26,78.27,107.29,-0.012349622058980159,0.06643244969658246,-0.09517725966145019,0.09932928776748651,-0.1667198977962313,0.14223357819652938
2026-07-10,ACGL,ARCH CAPITAL GROUP LTD.,Financials,101.06,101.37,0.0031,0.2518,0.2127819,0.18337132998624428,-85.0,1,Sell,6.318181818181772,1.2242038216560496,-1.5361087510620224,99.96,108.01,93.21,110.67,82.98,112.83,-0.010884622996239934,0.0687710271126063,-0.07767662774589357,0.0950920245398772,-0.1789036216109242,0.11646546605976638
2026-07-10,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,135.23,144.18,0.0662,0.4473,0.7716122,-0.4203046556288249,56.0,4,Buy,1.0004957858205266,-1.5214457831325299,1.4949959426562087,115.06,155.41,103.66,155.98,98.26,190.5,-0.14915329438734004,0.14922724247578212,-0.2334541152111218,0.1534422835169711,-0.2733860829697551,0.40871108481845764
2026-07-10,ADBE,ADOBE INC.,Information Technology,223.64,207.68,-0.0714,0.4245,0.47385406,-0.10415455762898818,-3.0,3,Neutral,1.4195672624647233,-1.598586309523808,-1.2724550898203588,213.01,238.73,180.67,250.52,168.39,267.06,-0.047531747451260986,0.06747451260955106,-0.1921391522089072,0.12019316759077103,-0.24704882847433374,0.1941513146127707
2026-07-10,ADI,"ANALOG DEVICES, INC.",Information Technology,395.65,438.84,0.1092,0.5657,0.56181471,0.006915607460687312,42.0,1,Buy,-5.868131868131863,1.0651294498381882,1.69116218841049,358.27,402.02,346.21,448.31,333.87,500.13,-0.0944774421837482,0.016100088462024598,-0.12495892834576017,0.1330974346012892,-0.15614811070390489,0.26407178061417924
2026-07-10,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,80.41,83.76,0.0417,0.3446,0.24670573,0.39680582206177384,43.0,1,Buy,-1.7396694214875994,-1.3581183611532623,-1.0177383592017735,76.2,82.83,71.46,87.0,66.64,93.94,-0.05235667205571437,0.030095759233926156,-0.11130456410894174,0.0819549807237907,-0.17124735729386886,0.16826265389876882
2026-07-10,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,241.92,239.42,-0.0103,0.2883,0.31695042,-0.09039401178266304,-41.0,4,Sell,2.0590909090909166,1.1501956947162437,-1.64572947823197,233.12,260.04,221.48,265.43,192.4,272.01,-0.03637566137566128,0.07490079365079372,-0.0844907407407407,0.09718088624338628,-0.2046957671957671,0.12437996031746024
2026-07-10,ADSK,"AUTODESK, INC.",Information Technology,208.45,209.28,0.004,0.4364,0.43242159,0.009200303805367405,12.0,1,Neutral,1.59866220735786,-1.2797347699958543,1.1901969981238278,199.48,222.79,177.57,232.58,165.81,259.2,-0.043031902134804456,0.06879347565363392,-0.1481410410170304,0.11575917486207743,-0.2045574478292156,0.24346366035020384
2026-07-10,AEE,AMEREN ,Utilities,112.94,122.89,0.0881,0.195,0.24815031,-0.2141859504426974,-13.0,4,Neutral,2.052469135802474,1.9979757085020262,1.6033364226135334,109.7,119.59,108.0,122.81,102.15,130.24,-0.028687798831237732,0.0588808216752259,-0.043740038958739125,0.08739153532849309,-0.09553745351514076,0.15317867894457238
2026-07-10,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,135.43,147.32,0.0878,0.2428,0.21089284,0.15129560586314827,16.0,1,Neutral,2.081578947368414,1.6099195710455734,1.3526999316472987,131.63,143.34,127.97,147.44,120.8,155.22,-0.02805877575131077,0.058406556892859784,-0.05508380713283623,0.08868049915085274,-0.10802628664254599,0.1461271505574835
2026-07-10,AES,THE AES ,Utilities,14.78,14.67,-0.0074,0.0809,0.04121022,0.9631052685474624,-41.0,1,Sell,-1.1578947368421015,1.0447761194029868,-1.1494252873563218,14.34,15.16,14.11,15.48,12.78,16.52,-0.02976995940460081,0.025710419485791558,-0.04533152909336946,0.047361299052774086,-0.13531799729364002,0.11772665764546697
2026-07-10,AFL,AFLAC INC.,Financials,121.91,127.51,0.0459,0.2069,0.17373061,0.19092427062795658,-40.0,1,Sell,1.0366972477064234,-1.700258397932814,-1.0899758454106276,118.64,125.3,115.33,125.78,103.86,138.47,-0.026823066196374312,0.027807398900828506,-0.05397424329423339,0.03174472971864484,-0.14806004429497166,0.13583791321466654
2026-07-10,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,79.17,80.77,0.0202,0.2808,0.23999081,0.1700448029655801,-75.0,2,Sell,3.07317073170732,-1.0120120120120117,-1.3064182194616987,77.12,85.47,72.43,85.83,66.55,88.83,-0.025893646583301733,0.07957559681697601,-0.08513325754705059,0.08412277377794619,-0.15940381457622843,0.12201591511936338
2026-07-10,AIZ,"ASSURANT, INC.",Financials,278.89,288.46,0.0343,0.2424,0.16136437,0.5021903534218861,-10.0,1,Neutral,3.423766816143522,1.4595115681233954,-1.250953918403287,274.43,294.16,263.33,301.6,236.27,312.96,-0.015991968159489334,0.05475276990928335,-0.055792606403958556,0.08142995446233292,-0.15282010828642112,0.12216285990892461
2026-07-10,AJG,ARTHUR J. GALLAGHER & CO.,Financials,253.09,243.0,-0.0399,0.321,0.33039613,-0.028438983229010617,-60.0,4,Sell,3.5251677852348977,-1.2287509238728762,-2.9309309309309337,247.13,274.1,219.84,280.15,184.77,276.4,-0.023548935161405105,0.08301394760757042,-0.13137619028803982,0.106918487494567,-0.2699434983602671,0.09210162392824683
