Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,ChaseScore,model_score
GGB,GERDAU SA,MR Discretion,2026-09-14,0.0402,0.0186,0.0004,0.0069,-0.4553,-0.4769,19.0
FTNT,"FORTINET, INC.",Information Technology,2026-09-14,0.033,0.0282,0.014,0.0016,-0.2061,-0.2109,35.0
SWKS,"SKYWORKS SOLUTIONS, INC.",Information Technology,2026-09-14,0.0796,0.0506,0.0064,0.01,-0.1605,-0.1895,3.0
FFIV,"F5, INC.",Information Technology,2026-09-14,0.0274,0.0002,0.0063,0.0043,-0.0733,-0.1006,27.0
