Ticker,Ticker_name,Category,Date,model_score_mtd_change,current_model_score,previous_model_score
RF,REGIONS FINANCIAL ,Financials,2026-09-25,-110.0,-36.0,74.0
MO,"ALTRIA GROUP, INC.",Consumer Staples,2026-09-25,-109.0,-47.0,62.0
SRE,SEMPRA,Utilities,2026-09-25,-105.0,-39.0,66.0
CMS,CMS ENERGY ,Utilities,2026-09-25,-103.0,-13.0,90.0
BTI,BRITISH AMERICAN TOBACCO P.L.C.,MR Discretion,2026-09-25,-97.0,-25.0,72.0
ATO,ATMOS ENERGY ,Utilities,2026-09-25,-95.0,-48.0,47.0
ETR,ENTERGY ,Utilities,2026-09-25,-93.0,-48.0,45.0
HRL,HORMEL FOODS ,Consumer Staples,2026-09-25,-84.0,-29.0,55.0
BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,2026-09-25,-83.0,-26.0,57.0
CINF,CINCINNATI FINANCIAL ,Financials,2026-09-25,-82.0,-35.0,47.0
