Ticker,Ticker_name,Category,Date,mtd_return_pct
MRNA,"MODERNA, INC.",Health Care,2026-09-25,0.4171
INTC,INTEL ,Information Technology,2026-09-25,0.3741
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2026-09-25,0.3397
SWKS,"SKYWORKS SOLUTIONS, INC.",Information Technology,2026-09-25,0.3332
META,"META PLATFORMS, INC.",Communication Services,2026-09-25,0.3133
MRVL,"MARVELL TECHNOLOGY, INC.",Information Technology,2026-09-25,0.2376
DELL,DELL TECHNOLOGIES INC.,Information Technology,2026-09-25,0.2344
HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,2026-09-25,0.2048
QCOM,QUALCOMM INC.,Information Technology,2026-09-25,0.1847
RVTY,"REVVITY, INC.",Health Care,2026-09-25,0.1744
