Ticker,Date,Zscore,prem_disc
BMY,2026-08-11,-1.13,-0.1673
BMY,2026-07-13,0.21,-0.0094
BNY,2026-08-11,-0.59,-0.1008
BNY,2026-07-13,-0.37,0.4245
BR,2026-08-11,1.8,-0.2417
BR,2026-07-13,-1.08,0.3471
BRK.B,2026-08-11,2.31,-0.0432
BRK.B,2026-07-13,0.99,0.2671
BRO,2026-08-11,-0.52,-0.0752
BRO,2026-07-13,0.88,0.1376
BSX,2026-08-11,0.05,0.0923
BSX,2026-07-13,-0.75,0.6463
BTC=F,2026-08-11,-1.99,
BTC=F,2026-07-13,-0.75,
BTI,2026-08-11,0.9,-0.4355
BTI,2026-07-13,-1.11,-0.0319
BTU,2026-08-11,1.23,-0.0244
BTU,2026-07-13,-1.61,0.6606
BX,2026-08-11,1.45,-0.1
BX,2026-07-13,-2.03,0.1995
BXP,2026-08-11,0.77,-0.1134
BXP,2026-07-13,-0.93,0.1109
C,2026-08-11,0.9,-0.2583
C,2026-07-13,-0.65,0.2896
CAG,2026-08-11,-2.17,-0.1997
CAG,2026-07-13,1.8,-0.0269
CAH,2026-08-11,1.27,-0.0355
CAH,2026-07-13,-2.08,0.717
CALM,2026-08-11,0.02,-0.1384
CALM,2026-07-13,2.39,0.339
CANE,2026-08-11,1.53,0.6038
CANE,2026-07-13,0.79,0.3823
CARR,2026-08-11,0.92,-0.2873
CARR,2026-07-13,-2.13,0.2142
CASY,2026-08-11,-2.39,0.2499
CASY,2026-07-13,-4.35,0.0532
CAT,2026-08-11,-0.7,-0.1275
CAT,2026-07-13,0.4,-0.0826
CB,2026-08-11,-1.22,-0.2599
CB,2026-07-13,1.09,0.0484
CBOE,2026-08-11,-0.58,-0.0092
CBOE,2026-07-13,-0.9,-0.2467
CBRE,2026-08-11,0.8,-0.122
CBRE,2026-07-13,-1.16,0.4324
CCI,2026-08-11,-0.89,-0.0226
CCI,2026-07-13,0.82,-0.1785
CCJ,2026-08-11,0.26,0.1062
CCJ,2026-07-13,-2.16,0.2451
CCL,2026-08-11,0.21,0.0569
CCL,2026-07-13,-1.42,-0.1135
CDNS,2026-08-11,0.47,-0.1715
CDNS,2026-07-13,-1.81,1.2013
CDW,2026-08-11,1.47,-0.3356
CDW,2026-07-13,-1.38,0.1464
CEG,2026-08-11,-0.2,0.1598
CEG,2026-07-13,-1.11,0.3151
CF,2026-08-11,1.68,-0.1865
CF,2026-07-13,0.12,0.4845
CFG,2026-08-11,-1.28,0.0086
CFG,2026-07-13,0.5,0.3591
CHD,2026-08-11,-1.25,-0.041
CHD,2026-07-13,-0.86,0.2252
CHRW,2026-08-11,1.11,-0.4855
CHRW,2026-07-13,-2.22,0.4453
CHTR,2026-08-11,-0.25,0.0299
CHTR,2026-07-13,0.53,0.3621
CI,2026-08-11,0.32,-0.1547
CI,2026-07-13,0.07,0.2775
CIEN,2026-08-11,0.81,0.0663
CIEN,2026-07-13,-1.9,0.2957
CINF,2026-08-11,-2.28,-0.1924
CINF,2026-07-13,2.23,-0.1653
CL,2026-08-11,-1.99,-0.1382
CL,2026-07-13,-2.37,0.2411
CLX,2026-08-11,0.29,-0.0135
CLX,2026-07-13,-0.88,0.1898
CMBT,2026-08-11,-1.48,0.5734
CMBT,2026-07-13,0.86,-0.458
CMCSA,2026-08-11,0.84,-0.4815
CMCSA,2026-07-13,0.49,0.1675
CME,2026-08-11,-1.18,-0.0436
CME,2026-07-13,0.04,-0.1488
CMG,2026-08-11,1.15,-0.4808
CMG,2026-07-13,0.71,0.1019
CMI,2026-08-11,-1.04,-0.0403
CMI,2026-07-13,-1.36,0.057
CMRE,2026-08-11,-0.85,0.1839
CMRE,2026-07-13,0.62,0.368
CMS,2026-08-11,-0.84,0.0876
CMS,2026-07-13,-2.21,0.1439
CNC,2026-08-11,1.31,-0.0866
CNC,2026-07-13,-1.39,0.3834
CNP,2026-08-11,-0.74,0.0915
CNP,2026-07-13,-0.82,-0.3052
CNR,2026-08-11,2.06,-0.1105
CNR,2026-07-13,-1.24,0.3521
COF,2026-08-11,-1.9,0.0923
COF,2026-07-13,0.87,0.0051
COHR,2026-08-11,1.96,-0.213
COHR,2026-07-13,-1.79,0.1917
COIN,2026-08-11,1.22,-0.1362
COIN,2026-07-13,-1.6,0.2716
COMT,2026-08-11,-0.87,0.8728
COMT,2026-07-13,2.05,1.0273
COO,2026-08-11,-1.1,0.233
COO,2026-07-13,-2.11,-0.3216
COP,2026-08-11,-0.19,0.0403
COP,2026-07-13,2.05,0.0329
COR,2026-08-11,1.57,-0.1203
COR,2026-07-13,0.95,0.356
CORN,2026-08-11,-1.82,0.1448
CORN,2026-07-13,1.37,-0.137
COST,2026-08-11,-2.22,0.0827
COST,2026-07-13,0.6,-0.0397
CPAY,2026-08-11,-1.19,0.0466
CPAY,2026-07-13,0.64,0.1078
CPER,2026-08-11,-0.35,0.3565
CPER,2026-07-13,-1.86,0.0536
CPRT,2026-08-11,-1.4,0.0105
CPRT,2026-07-13,1.16,-0.2322
CPT,2026-08-11,-0.37,-0.1466
CPT,2026-07-13,0.62,0.042
CRESY,2026-08-11,0.05,0.1221
CRESY,2026-07-13,-1.13,0.3036
CRH,2026-08-11,1.2,-0.1117
CRH,2026-07-13,-1.53,0.1533
CRL,2026-08-11,1.44,-0.137
CRL,2026-07-13,-1.04,0.3837
CRM,2026-08-11,0.61,-0.0143
CRM,2026-07-13,-1.09,0.0407
CRWD,2026-08-11,0.16,0.0387
CRWD,2026-07-13,-1.18,0.2619
CSCO,2026-08-11,-1.67,0.5241
CSCO,2026-07-13,-0.91,0.3876
CSGP,2026-08-11,-0.84,-0.0793
CSGP,2026-07-13,1.25,0.2226
CSX,2026-08-11,0.88,-0.2248
CSX,2026-07-13,-1.72,0.3853
CTAS,2026-08-11,-0.2,-0.2752
CTAS,2026-07-13,0.05,0.0721
CTSH,2026-08-11,-0.57,-0.1712
CTSH,2026-07-13,1.64,-0.0348
CTVA,2026-08-11,1.21,-0.4202
CTVA,2026-07-13,0.7,0.4243
CVNA,2026-08-11,0.78,-0.1339
CVNA,2026-07-13,-0.23,0.1764
CVS,2026-08-11,1.44,-0.1389
CVS,2026-07-13,-0.59,0.5271
CVX,2026-08-11,0.99,0.0341
CVX,2026-07-13,2.07,0.1126
D,2026-08-11,0.34,0.5487
D,2026-07-13,-0.95,0.3423
DAL,2026-08-11,1.0,0.1135
DAL,2026-07-13,-1.54,0.0519
DASH,2026-08-11,0.49,-0.1596
DASH,2026-07-13,-1.0,0.1656
DBA,2026-08-11,-0.64,-0.265
DBA,2026-07-13,1.22,0.3355
DBB,2026-08-11,-0.9,1.5671
DBB,2026-07-13,-0.36,
DBC,2026-08-11,1.21,-0.0693
DBC,2026-07-13,2.82,0.2747
DD,2026-08-11,1.46,0.271
DD,2026-07-13,-1.74,0.4153
DDOG,2026-08-11,2.31,-0.4011
DDOG,2026-07-13,-1.3,0.7497
DE,2026-08-11,-1.11,0.0869
DE,2026-07-13,-0.61,0.1146
DECK,2026-08-11,0.22,-0.1039
DECK,2026-07-13,0.84,0.3244
DELL,2026-08-11,1.12,-0.0668
DELL,2026-07-13,-1.21,0.3937
DG,2026-08-11,-0.49,0.1489
DG,2026-07-13,0.18,-0.0989
DGX,2026-08-11,0.48,-0.4401
DGX,2026-07-13,-1.07,0.3462
DHI,2026-08-11,0.62,-0.0391
DHI,2026-07-13,0.59,-0.0265
DHR,2026-08-11,0.53,-0.5205
DHR,2026-07-13,-1.43,0.161
DHT,2026-08-11,-1.59,1.2325
DHT,2026-07-13,1.57,0.0864
DIA,2026-08-11,1.2,-0.1107
DIA,2026-07-13,-3.05,0.1226
DIS,2026-08-11,1.2,-0.2742
DIS,2026-07-13,1.19,0.2049
DJI,2026-08-11,1.19,
DJI,2026-07-13,-3.0,
DLR,2026-08-11,0.64,-0.4159
DLR,2026-07-13,0.33,-0.0052
DLTR,2026-08-11,-1.42,0.7184
DLTR,2026-07-13,-1.16,-0.0808
DOC,2026-08-11,1.25,0.0198
DOC,2026-07-13,-1.39,0.3247
DOV,2026-08-11,0.68,-0.3849
DOV,2026-07-13,-0.32,0.2009
DOW,2026-08-11,0.14,0.1399
DOW,2026-07-13,2.42,0.2121
DPZ,2026-08-11,-0.56,-0.1196
DPZ,2026-07-13,1.24,-0.0365
DRI,2026-08-11,-0.36,-0.0304
DRI,2026-07-13,0.64,-0.0171
DTE,2026-08-11,-1.16,0.053
DTE,2026-07-13,-0.75,-0.0111
DUK,2026-08-11,-0.49,0.3293
DUK,2026-07-13,0.91,0.0567
DVA,2026-08-11,1.74,-0.4734
DVA,2026-07-13,-1.37,1.4579
DVN,2026-08-11,1.29,-0.2273
DVN,2026-07-13,-1.36,0.1322
DXCM,2026-08-11,1.37,-0.3506
DXCM,2026-07-13,-1.42,0.5562
DXY,2026-08-11,0.48,
DXY,2026-07-13,0.73,
EBAY,2026-08-11,1.67,-0.2033
EBAY,2026-07-13,-0.3,0.5144
EC,2026-08-11,0.46,0.1443
EC,2026-07-13,-1.3,0.0753
ECH,2026-08-11,-0.12,0.1468
ECH,2026-07-13,-1.56,0.0904
ECHO,2026-08-11,1.04,-0.0042
ECHO,2026-07-13,-1.09,
ECL,2026-08-11,-0.32,-0.0076
ECL,2026-07-13,-2.01,0.18
ED,2026-08-11,-1.15,0.1991
ED,2026-07-13,-0.68,0.0885
EDEN,2026-08-11,1.46,
EDEN,2026-07-13,0.25,
EDV,2026-08-11,-0.05,-0.2699
EDV,2026-07-13,1.1,-0.4363
EFNL,2026-08-11,-2.37,
EFNL,2026-07-13,-2.27,
EFX,2026-08-11,-0.77,-0.1732
EFX,2026-07-13,1.34,-0.0258
EG,2026-08-11,0.9,-0.2297
EG,2026-07-13,-1.78,0.2349
EIDO,2026-08-11,-0.61,0.679
EIDO,2026-07-13,-3.12,0.2753
EIRL,2026-08-11,1.15,
EIRL,2026-07-13,-1.01,
EIS,2026-08-11,1.12,
EIS,2026-07-13,-2.26,
EIX,2026-08-11,1.62,0.2556
EIX,2026-07-13,-1.81,0.404
EL,2026-08-11,-0.64,0.9646
EL,2026-07-13,-0.78,0.4185
ELV,2026-08-11,-0.87,-0.1962
ELV,2026-07-13,0.1,0.076
EME,2026-08-11,1.07,-0.4845
EME,2026-07-13,0.39,0.1349
EMR,2026-08-11,1.26,-0.1375
EMR,2026-07-13,-0.41,0.0817
ENZL,2026-08-11,-1.9,1.4926
ENZL,2026-07-13,-0.79,1.1172
EOG,2026-08-11,1.56,-0.2068
EOG,2026-07-13,2.03,0.0752
EPAM,2026-08-11,1.42,-0.3181
EPAM,2026-07-13,1.1,0.0271
EPHE,2026-08-11,-1.11,
EPHE,2026-07-13,0.59,
EPOL,2026-08-11,-0.7,0.7537
EPOL,2026-07-13,-1.57,0.191
EPU,2026-08-11,-0.74,-0.1054
EPU,2026-07-13,-2.26,-0.1094
EQIX,2026-08-11,0.57,-0.1256
EQIX,2026-07-13,1.26,0.5306
EQR,2026-08-11,-0.91,0.1906
EQR,2026-07-13,1.44,-0.1862
EQT,2026-08-11,0.77,-0.2924
EQT,2026-07-13,0.3,0.3199
ERIE,2026-08-11,0.62,-0.4817
ERIE,2026-07-13,0.23,-0.0262
ES,2026-08-11,-1.49,0.1442
ES,2026-07-13,-2.38,-0.0259
ES=F,2026-08-11,0.71,
ES=F,2026-07-13,-2.2,
ESS,2026-08-11,0.59,-0.212
ESS,2026-07-13,1.06,-0.0079
ETN,2026-08-11,0.77,-0.3193
ETN,2026-07-13,-0.09,-0.0992
ETR,2026-08-11,0.93,0.0182
ETR,2026-07-13,-1.7,0.4155
EVRG,2026-08-11,-1.58,0.2663
EVRG,2026-07-13,-0.31,0.12
EW,2026-08-11,0.49,-0.2747
EW,2026-07-13,-0.19,0.3551
EWA,2026-08-11,1.44,-0.1577
EWA,2026-07-13,-1.83,0.1133
EWC,2026-08-11,1.41,0.1045
EWC,2026-07-13,-1.91,0.6042
EWD,2026-08-11,-1.52,-0.0163
EWD,2026-07-13,-1.67,-0.0932
EWG,2026-08-11,-1.85,0.0467
EWG,2026-07-13,-0.11,-0.1268
