Date,Ticker,Ticker_name,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-06-22,VNM,VANECK:VIETNAM,18.35,-0.0187,16.35,21.79,1.7199999999999989,84.0,91.0
2026-06-22,FIX,"COMFORT SYSTEMS USA, INC.",1967.41,0.0761,1619.67,2682.43,2.056191407373324,77.0,92.0
2026-06-22,NTRS,NORTHERN TRUST ,172.11,0.0403,151.69,198.49,1.2918707149853073,76.0,12.0
2026-06-22,PM,PHILIP MORRIS INTERNATIONAL INC.,178.4,0.0058,153.83,219.69,1.6805046805046806,75.0,137.0
2026-06-22,STIP,ISHARES:0-5 TIPS BD ETF,102.06,-0.0155,98.95,107.02,1.5948553054662362,74.0,34.0
2026-06-22,WYNN,"WYNN RESORTS, LIMITED",105.53,0.0426,85.39,125.51,-1.0080080080080078,-79.0,-144.0
2026-06-22,TECH,BIO-TECHNE ,57.94,0.1211,40.01,63.78,-3.070205479452053,-80.0,-124.0
2026-06-22,KVUE,KENVUE INC.,18.12,0.0486,14.28,20.93,-1.3665480427046275,-83.0,-51.0
2026-06-22,KMB,KIMBERLY-CLARK ,102.56,0.0508,82.69,112.93,-1.916104146576663,-89.0,-69.0
2026-06-22,CDW,CDW ,128.37,0.0233,95.38,151.19,-1.4456617002629282,-93.0,-99.0
