Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-07-16,CINF,CINCINNATI FINANCIAL ,Financials,Financials,50.0,-10.0,-60.0
2026-07-16,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,1.0,-36.0,-37.0
2026-07-16,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,7.0,14.0,7.0
2026-07-16,CMBT,CMB.TECH NV,,MR Discretion,0.0,3.0,3.0
2026-07-16,CMCSA,COMCAST ,Communication Services,Communication Services,-60.0,-22.0,38.0
2026-07-16,CME,CME GROUP INC.,Financials,Financials,-31.0,-31.0,0.0
2026-07-16,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,-55.0,-54.0,1.0
2026-07-16,CMI,CUMMINS INC.,Industrials,Industrials,-32.0,-15.0,17.0
2026-07-16,CMRE,COSTAMARE INC.,,MR Discretion,-10.0,17.0,27.0
2026-07-16,CMS,CMS ENERGY ,Utilities,Utilities,38.0,5.0,-33.0
2026-07-16,CNC,CENTENE ,Health Care,Health Care,24.0,5.0,-19.0
2026-07-16,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,90.0,24.0,-66.0
2026-07-16,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,30.0,12.0,-18.0
2026-07-16,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,34.0,-29.0,-63.0
2026-07-16,COHR,COHERENT CORP.,Information Technology,Information Technology,-59.0,-20.0,39.0
2026-07-16,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,-46.0,-21.0,25.0
2026-07-16,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,47.0,47.0,0.0
2026-07-16,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,-23.0,-93.0,-70.0
2026-07-16,COP,CONOCOPHILLIPS,Energy,Energy,20.0,6.0,-14.0
2026-07-16,COR,"CENCORA, INC.",Health Care,Health Care,2.0,-33.0,-35.0
2026-07-16,CORN,TEUCRIUM:CORN,,Commodities,-32.0,-9.0,23.0
2026-07-16,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,-19.0,-12.0,7.0
2026-07-16,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,-116.0,-65.0,51.0
2026-07-16,CPER,UNITED STATES COPPER IDX,,Commodities,9.0,36.0,27.0
2026-07-16,CPRT,"COPART, INC.",Industrials,Industrials,-39.0,-32.0,7.0
2026-07-16,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,100.0,29.0,-71.0
2026-07-16,CRESY,CRESUD INC.,,MR Discretion,-4.0,43.0,47.0
2026-07-16,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,-4.0,-9.0,-5.0
2026-07-16,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,-16.0,-69.0,-53.0
2026-07-16,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,-11.0,-1.0,10.0
2026-07-16,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,25.0,15.0,-10.0
2026-07-16,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,-69.0,-17.0,52.0
2026-07-16,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,3.0,6.0,3.0
2026-07-16,CSX,CSX ,Industrials,Industrials,9.0,8.0,-1.0
2026-07-16,CTAS,CINTAS ,Industrials,Industrials,1.0,-17.0,-18.0
2026-07-16,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,37.0,-1.0,-38.0
2026-07-16,CTVA,"CORTEVA, INC.",Materials,Materials,6.0,-16.0,-22.0
2026-07-16,CVNA,CARVANA CO.,Consumer Discretionary,Consumer Discretionary,-25.0,-21.0,4.0
2026-07-16,CVS,CVS HEALTH ,Health Care,Health Care,32.0,9.0,-23.0
