Ticker,Ticker_name,Category,Date,model_score_day_change,current_model_score,previous_model_score
BG,BUNGE LIMITED,Consumer Staples,2026-09-25,-69.0,-19.0,50.0
CARR,CARRIER GLOBAL ,Industrials,2026-09-25,-66.0,-18.0,48.0
EWL,ISHARES:MSCI SWITZERLAND,Foreign,2026-09-25,-59.0,-61.0,-2.0
NEM,NEWMONT ,Materials,2026-09-25,-58.0,17.0,75.0
OKE,"ONEOK, INC.",Energy,2026-09-25,-54.0,-18.0,36.0
APTV,APTIV PLC,Consumer Discretionary,2026-09-25,-53.0,-5.0,48.0
VTR,"VENTAS, INC.",Real Estate,2026-09-25,-52.0,-35.0,17.0
CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,2026-09-25,-51.0,-20.0,31.0
CRH,CRH PUBLIC LIMITED COMPANY,Materials,2026-09-25,-50.0,-41.0,9.0
ETR,ENTERGY ,Utilities,2026-09-25,-50.0,-48.0,2.0
