Ticker,Ticker_name,Category,Date,model_score,R/R Ratio
ATO,ATMOS ENERGY ,Utilities,2026-09-25,-48.0,-4.2
PYPL,"PAYPAL HOLDINGS, INC.",Financials,2026-09-25,-43.0,-7.8
COF,CAPITAL ONE FINANCIAL ,Financials,2026-09-25,-33.0,-3.4
UBER,"UBER TECHNOLOGIES, INC.",Industrials,2026-09-25,-33.0,-3.7
SBUX,STARBUCKS ,Consumer Discretionary,2026-09-25,-31.0,-6.8
BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,2026-09-25,-18.0,-9.4
VEEV,VEEVA SYSTEMS INC.,Health Care,2026-09-25,-17.0,-6.7
DG,DOLLAR GENERAL ,Consumer Staples,2026-09-25,-16.0,-3.2
FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,2026-09-25,-16.0,-10.8
FTI,TECHNIPFMC PLC,MR Discretion,2026-09-25,-15.0,-3.2
