Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-06-29,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,3.9,19.6,15.7
2026-06-29,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,77.0,87.1,10.1
2026-06-29,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,25.4,72.0,46.6
2026-06-29,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,8.5,36.9,28.4
2026-06-29,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,36.9,69.2,32.3
2026-06-29,CI,THE CIGNA GROUP,Health Care,Health Care,21.8,50.6,28.8
2026-06-29,CIEN,CIENA CORPORATION,Information Technology,Information Technology,-22.6,4.2,26.8
2026-06-29,CINF,CINCINNATI FINANCIAL ,Financials,Financials,94.0,99.8,5.8
2026-06-29,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,-13.1,71.6,84.7
2026-06-29,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,26.2,79.6,53.4
2026-06-29,CMBT,CMB.TECH NV,,MR Discretion,-58.3,12.5,70.8
2026-06-29,CMCSA,COMCAST ,Communication Services,Communication Services,50.0,57.3,7.3
2026-06-29,CME,CME GROUP INC.,Financials,Financials,-21.0,0.6,21.6
2026-06-29,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,29.4,64.1,34.7
2026-06-29,CMI,CUMMINS INC.,Industrials,Industrials,25.4,39.1,13.7
2026-06-29,CMRE,COSTAMARE INC.,,MR Discretion,-1.6,6.5,8.1
2026-06-29,CMS,CMS ENERGY ,Utilities,Utilities,71.4,83.5,12.1
2026-06-29,CNC,CENTENE ,Health Care,Health Care,-20.2,55.0,75.2
2026-06-29,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,62.7,84.3,21.6
2026-06-29,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,-33.8,9.3,43.1
2026-06-29,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,36.9,76.4,39.5
2026-06-29,COHR,COHERENT CORP.,Information Technology,Information Technology,-17.5,20.4,37.9
2026-06-29,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,-43.6,13.7,57.3
2026-06-29,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,1.6,3.0,1.4
2026-06-29,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,59.3,97.6,38.3
2026-06-29,COP,CONOCOPHILLIPS,Energy,Energy,4.0,5.4,1.4
2026-06-29,COR,"CENCORA, INC.",Health Care,Health Care,50.2,75.0,24.8
2026-06-29,CORN,TEUCRIUM:CORN,,Commodities,-17.2,3.4,20.6
2026-06-29,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,32.2,51.4,19.2
2026-06-29,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,-75.0,18.1,93.1
2026-06-29,CPER,UNITED STATES COPPER IDX,,Commodities,-42.4,15.3,57.7
2026-06-29,CPRT,"COPART, INC.",Industrials,Industrials,-53.6,13.7,67.3
2026-06-29,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,25.4,96.2,70.8
2026-06-29,CRESY,CRESUD INC.,,MR Discretion,-42.0,29.6,71.6
2026-06-29,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,21.1,41.1,20.0
2026-06-29,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,38.1,93.1,55.0
2026-06-29,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,-67.9,20.4,88.3
2026-06-29,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,-46.0,53.0,99.0
2026-06-29,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,-71.1,20.8,91.9
2026-06-29,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,0.6,50.0,49.4
2026-06-29,CSX,CSX ,Industrials,Industrials,38.1,66.1,28.0
2026-06-29,CTAS,CINTAS ,Industrials,Industrials,6.0,54.2,48.2
2026-06-29,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,-75.0,1.8,76.8
2026-06-29,CTVA,"CORTEVA, INC.",Materials,Materials,63.1,84.3,21.2
2026-06-29,CVNA,CARVANA CO.,Consumer Discretionary,Consumer Discretionary,0.0,19.6,19.6
2026-06-29,CVS,CVS HEALTH ,Health Care,Health Care,23.8,89.1,65.3
2026-06-29,CVX,CHEVRON ,Energy,Energy,-4.7,3.8,8.5
2026-06-29,D,"DOMINION ENERGY, INC.",Utilities,Utilities,6.2,65.1,58.9
2026-06-29,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,-15.0,80.8,95.8
2026-06-29,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,45.6,81.9,36.3
2026-06-29,DBA,INVESCO DB MS AGRI,,Commodities,-4.9,16.3,21.2
2026-06-29,DBB,INVESCO DB MS BMTL,,Commodities,-59.7,0.6,60.3
2026-06-29,DBC,INVESCO DB CM IDX,,Commodities,-0.8,3.0,3.8
2026-06-29,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,-39.3,8.9,48.2
2026-06-29,DDOG,"DATADOG, INC.",Information Technology,Information Technology,-58.7,40.7,99.4
2026-06-29,DE,DEERE & COMPANY,Industrials,Industrials,83.0,93.1,10.1
2026-06-29,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,-63.9,17.3,81.2
2026-06-29,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,-66.6,31.2,97.8
2026-06-29,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,38.1,71.6,33.5
2026-06-29,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,38.7,90.3,51.6
2026-06-29,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,52.0,83.5,31.5
2026-06-29,DHR,DANAHER ,Health Care,Health Care,11.9,72.0,60.1
2026-06-29,DHT,"DHT HOLDINGS, INC.",,MR Discretion,49.4,55.6,6.2
2026-06-29,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,-20.1,47.6,67.7
2026-06-29,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,-11.1,38.7,49.8
2026-06-29,DJI,DOW JONES INDUSTRIAL AVG INDEX,,Indices,-16.7,49.4,66.1
2026-06-29,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,37.3,51.8,14.5
2026-06-29,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,-20.2,53.0,73.2
2026-06-29,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,20.6,97.8,77.2
2026-06-29,DOV,DOVER ,Industrials,Industrials,48.4,63.3,14.9
2026-06-29,DOW,DOW INC.,Materials,Materials,-0.4,0.2,0.6
2026-06-29,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,27.7,44.6,16.9
2026-06-29,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,-3.2,56.5,59.7
2026-06-29,DTE,DTE ENERGY COMPANY,Utilities,Utilities,79.0,91.9,12.9
2026-06-29,DUK,DUKE ENERGY ,Utilities,Utilities,63.9,75.2,11.3
2026-06-29,DVA,DAVITA INC.,Health Care,Health Care,14.5,99.8,85.3
2026-06-29,DVN,DEVON ENERGY ,Energy,Energy,18.2,18.8,0.6
2026-06-29,DXCM,"DEXCOM, INC.",Health Care,Health Care,-64.7,31.9,96.6
