Ticker,Ticker_name,Category,Date,daily_return_pct
STX,SEAGATE TECHNOLOGY HOLDINGS,Information Technology,2026-08-24,-0.0651
SNDK,SANDISK CORPORATION,Information Technology,2026-08-24,-0.0645
CIEN,CIENA CORPORATION,Information Technology,2026-08-24,-0.0602
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2026-08-24,-0.0583
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,2026-08-24,-0.0565
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-08-24,-0.0556
WDC,WESTERN DIGITAL ,Information Technology,2026-08-24,-0.0524
COHR,COHERENT CORP.,Information Technology,2026-08-24,-0.0485
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-08-24,-0.048
MP,MP MATERIALS CORP,MR Discretion,2026-08-24,-0.0438
