Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-05-19,ES,EVERSOURCE ENERGY,Utilities,Utilities,-28.0,7.0,35.0
2026-05-19,ES=F,E-MINI S&P 500 FUTURES,,Futures,17.0,-27.0,-44.0
2026-05-19,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,40.0,-60.0,-100.0
2026-05-19,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,24.0,-10.0,-34.0
2026-05-19,ETR,ENTERGY ,Utilities,Utilities,14.0,0.0,-14.0
2026-05-19,EVRG,"EVERGY, INC.",Utilities,Utilities,10.0,35.0,25.0
2026-05-19,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,10.0,-28.0,-38.0
2026-05-19,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,28.0,39.0,11.0
2026-05-19,EWC,ISHARES:MSCI CANADA,,Foreign,69.0,59.0,-10.0
2026-05-19,EWD,ISHARES:MSCI SWEDEN,,Foreign,32.0,36.0,4.0
2026-05-19,EWG,ISHARES:MSCI GERMANY,,Foreign,-11.0,3.0,14.0
2026-05-19,EWH,ISHARES:MSCI HONG KONG,,Foreign,21.0,43.0,22.0
2026-05-19,EWI,ISHARES:MSCI ITALY,,Foreign,0.0,47.0,47.0
2026-05-19,EWJ,ISHARES:MSCI JAPAN,,Foreign,-6.0,-37.0,-31.0
2026-05-19,EWK,ISHARES:MSCI BELGIUM,,Foreign,-27.0,20.0,47.0
2026-05-19,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-3.0,20.0,23.0
2026-05-19,EWM,ISHARES:MSCI MALAYSIA,,Foreign,-7.0,19.0,26.0
2026-05-19,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,0.0,-28.0,-28.0
2026-05-19,EWO,ISHARES:MSCI AUSTRIA,,Foreign,0.0,21.0,21.0
2026-05-19,EWP,ISHARES:MSCI SPAIN,,Foreign,29.0,56.0,27.0
2026-05-19,EWQ,ISHARES:MSCI FRANCE,,Foreign,51.0,62.0,11.0
2026-05-19,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-44.0,3.0,47.0
2026-05-19,EWT,ISHARES:MSCI TAIWAN,,Foreign,12.0,-3.0,-15.0
2026-05-19,EWU,ISHARES:MSCI UK,,Foreign,34.0,47.0,13.0
2026-05-19,EWW,ISHARES:MSCI MEXICO,,Foreign,0.0,44.0,44.0
2026-05-19,EWY,ISHARES:MSCI S KOREA,,Foreign,-43.0,-21.0,22.0
2026-05-19,EWZ,ISHARES:MSCI BRAZIL,,Foreign,38.0,29.0,-9.0
2026-05-19,EXC,EXELON ,Utilities,Utilities,62.0,73.0,11.0
2026-05-19,EXE,EXPAND ENERGY ,Energy,Energy,-5.0,7.0,12.0
2026-05-19,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,-56.0,-23.0,33.0
2026-05-19,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,-13.0,33.0,46.0
2026-05-19,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,18.0,29.0,11.0
2026-05-19,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,14.0,3.0,-11.0
2026-05-19,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,25.0,-37.0,-62.0
2026-05-19,FAST,FASTENAL COMPANY,Industrials,Industrials,-37.0,10.0,47.0
2026-05-19,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,-1.0,37.0,38.0
2026-05-19,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,7.0,-11.0,-18.0
2026-05-19,FDX,FEDEX ,Industrials,Industrials,-51.0,10.0,61.0
2026-05-19,FE,FIRSTENERGY CORP.,Utilities,Utilities,0.0,0.0,0.0
2026-05-19,FFIV,"F5, INC.",Information Technology,Information Technology,8.0,-37.0,-45.0
2026-05-19,FICO,FAIR ISAAC ,Information Technology,Information Technology,10.0,-26.0,-36.0
2026-05-19,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,-54.0,-32.0,22.0
2026-05-19,FISV,"FISERV, INC.",Financials,Financials,-9.0,-43.0,-34.0
2026-05-19,FITB,FIFTH THIRD BANCORP,Financials,Financials,-33.0,14.0,47.0
2026-05-19,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,20.0,7.0,-13.0
2026-05-19,FOXA,FOX ,Communication Services,Communication Services,-10.0,11.0,21.0
2026-05-19,FRO,FRONTLINE PLC,,MR Discretion,-21.0,4.0,25.0
2026-05-19,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-50.0,-58.0,-8.0
2026-05-19,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,-31.0,-77.0,-46.0
2026-05-19,FTI,TECHNIPFMC PLC,,MR Discretion,-2.0,6.0,8.0
2026-05-19,FTNT,"FORTINET, INC.",Information Technology,Information Technology,28.0,-23.0,-51.0
2026-05-19,FTV,FORTIVE ,Industrials,Industrials,-26.0,3.0,29.0
2026-05-19,FVX,5 YR TSY YLD NDX,Yields,Yields,0.0,-34.0,-34.0
2026-05-19,FXA,INVESCO:AU DOLLAR,,Currencies,-26.0,14.0,40.0
2026-05-19,FXB,INVESCO:GBP STERLING,,Currencies,-10.0,43.0,53.0
2026-05-19,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,45.0,31.0,-14.0
2026-05-19,FXE,INVESCO:EURO,,Currencies,27.0,36.0,9.0
2026-05-19,FXY,INVESCO:JAPANESE YEN,,Currencies,-11.0,-8.0,3.0
2026-05-19,GD,GENERAL DYNAMICS ,Industrials,Industrials,-45.0,8.0,53.0
2026-05-19,GDDY,GODADDY INC.,Information Technology,Information Technology,8.0,1.0,-7.0
2026-05-19,GDX,VANECK:GOLD MINERS,,Commodities,-22.0,-16.0,6.0
2026-05-19,GDXJ,VANECK:JR GOLD MINERS,,Commodities,-22.0,-16.0,6.0
2026-05-19,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,-31.0,-51.0,-20.0
2026-05-19,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,0.0,-8.0,-8.0
2026-05-19,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,43.0,-17.0,-60.0
2026-05-19,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,32.0,13.0,-19.0
2026-05-19,GEV,GE VERNOVA INC.,Industrials,Industrials,56.0,37.0,-19.0
2026-05-19,GGB,GERDAU SA,,MR Discretion,0.0,16.0,16.0
2026-05-19,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,25.0,54.0,29.0
2026-05-19,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,37.0,29.0,-8.0
2026-05-19,GL,GLOBE LIFE INC.,Financials,Financials,7.0,5.0,-2.0
2026-05-19,GLATF,GLOBAL ATOMIC ,,MR Discretion,0.0,18.0,18.0
2026-05-19,GLD,SPDR GOLD,Gold,Commodities,-22.0,2.0,24.0
2026-05-19,GLW,CORNING INC.,Information Technology,Information Technology,11.0,37.0,26.0
2026-05-19,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,-8.0,4.0,12.0
