Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-09-28,CME,CME GROUP INC.,264.48,-0.0418,250.33,300.85,2.5703180212014125,65.0,108.0
2026-09-28,SYY,SYSCO ,78.46,-0.0075,72.8,87.75,1.6413427561837477,86.0,94.0
2026-09-28,AXON,"AXON ENTERPRISE, INC.",430.11,-0.0394,375.4,567.97,2.519831840614146,45.0,83.0
2026-09-28,ORCL,ORACLE ,137.1,-0.0712,119.76,167.14,1.7324106113033455,38.0,79.0
2026-09-28,BTU,PEABODY ENERGY ,25.44,0.0087,22.38,30.58,1.679738562091501,56.0,75.0
2026-09-28,DLTR,"DOLLAR TREE, INC.",114.07,0.0188,104.3,127.48,1.3725690890481081,-8.0,-68.0
2026-09-28,L,LOEWS ,104.82,-0.0274,99.55,115.31,1.9905123339658477,-26.0,-73.0
2026-09-28,EWA,ISHARES:MSCI AUSTRALIA,28.43,-0.0111,27.0,30.59,1.5104895104895109,-14.0,-76.0
2026-09-28,SCHW,THE CHARLES SCHWAB ,99.03,-0.0591,94.55,116.88,3.984374999999995,-13.0,-84.0
2026-09-28,CF,"CF INDUSTRIES HOLDINGS, INC.",114.67,-0.102,112.28,147.18,13.602510460251045,-8.0,-84.0
