Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-09-28,ON,ON SEMICONDUCTOR ,77.2,0.0554,68.91,78.41,-6.8512396694215285,20.0,-35.0
2026-09-28,MCHP,MICROCHIP TECHNOLOGY INC.,78.69,0.0536,72.09,79.62,-7.096774193548329,-2.0,13.0
2026-09-28,GNRC,GENERAC HOLDINGS INC.,208.14,0.0509,187.93,230.46,1.1044037605145989,-22.0,21.0
2026-09-28,DELL,DELL TECHNOLOGIES INC.,562.89,0.0501,523.95,607.66,1.149717514124295,-3.0,-4.0
2026-09-28,CVS,CVS HEALTH ,89.13,0.048,81.02,88.9,,54.0,52.0
2026-09-28,DVN,DEVON ENERGY ,47.05,-0.0378,45.53,50.46,2.243421052631587,1.0,2.0
2026-09-28,PANW,"PALO ALTO NETWORKS, INC.",374.74,-0.0389,364.12,417.83,4.057438794726926,50.0,17.0
2026-09-28,CHTR,"CHARTER COMMUNICATIONS, INC.",112.91,-0.0395,102.59,120.28,-1.4002713704206224,-5.0,-30.0
2026-09-28,VIX,CBOE MKT VOLATILITY IDX,14.87,-0.0511,13.59,17.26,1.8671875000000027,-28.0,0.0
2026-09-28,GEN,GEN DIGITAL INC.,21.62,-0.0629,21.11,28.24,12.9803921568627,-38.0,-37.0
