Ticker,Ticker_name,Category,Date,model_score_qtd_change,current_model_score,previous_model_score
SWKS,"SKYWORKS SOLUTIONS, INC.",Information Technology,2026-09-25,-113.0,-51.0,62.0
IWF,ISHARES:RUSS 1000 GR ETF,Sector & Style ETFs,2026-09-25,-106.0,-23.0,83.0
TSLA,"TESLA, INC.",Consumer Discretionary,2026-09-25,-106.0,-57.0,49.0
MS,MORGAN STANLEY,Financials,2026-09-25,-101.0,-20.0,81.0
SNDK,SANDISK CORPORATION,Information Technology,2026-09-25,-97.0,-22.0,75.0
NKE,"NIKE, INC.",Consumer Discretionary,2026-09-25,-93.0,-9.0,84.0
AAPL,APPLE INC.,Information Technology,2026-09-25,-90.0,-7.0,83.0
XLC,SEL SECTOR:COMM SVC SPDR,Sector & Style ETFs,2026-09-25,-88.0,-15.0,73.0
TTD,"THE TRADE DESK, INC.",Communication Services,2026-09-25,-87.0,-47.0,40.0
INTU,INTUIT INC.,Information Technology,2026-09-25,-85.0,-11.0,74.0
