Metric,15D,30D,90D
S&P 500 (SPX),-0.25,-0.16,-0.44
U.S. Oil Fund (USO),0.25,0.01,0.2
Broad Commodities (COMT),0.07,-0.07,0.11
Gold Trust (GLD),-0.65,-0.48,-0.61
Bitcoin Futures (BTC),-0.5,-0.33,-0.34
