Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-07-16,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,10.1,70.8,60.7
2026-07-16,HAL,HALLIBURTON COMPANY,Energy,Energy,7.9,11.7,3.8
2026-07-16,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,3.2,30.0,26.8
2026-07-16,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,5.6,74.8,69.2
2026-07-16,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,-37.7,41.1,78.8
2026-07-16,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,-16.9,59.7,76.6
2026-07-16,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,-19.3,69.6,88.9
2026-07-16,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,-22.2,11.3,33.5
2026-07-16,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-23.8,3.0,26.8
2026-07-16,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,38.9,59.7,20.8
2026-07-16,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,-28.6,47.8,76.4
2026-07-16,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,-22.6,67.3,89.9
2026-07-16,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,-21.6,23.4,45.0
2026-07-16,HPQ,HP INC.,Information Technology,Information Technology,6.3,49.0,42.7
2026-07-16,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,5.2,74.8,69.6
2026-07-16,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,5.5,82.7,77.2
2026-07-16,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,-7.5,13.3,20.8
2026-07-16,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,-12.1,33.7,45.8
2026-07-16,HUBB,HUBBELL INC.,Industrials,Industrials,-28.6,26.8,55.4
2026-07-16,HUM,HUMANA INC.,Health Care,Health Care,-12.3,49.8,62.1
2026-07-16,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,-56.4,19.6,76.0
2026-07-16,HYD,VANECK:HIGH YIELD MUNI,,Bonds,-26.6,14.5,41.1
2026-07-16,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,-36.7,30.0,66.7
2026-07-16,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,-38.1,28.8,66.9
2026-07-16,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,-44.5,24.0,68.5
2026-07-16,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,11.9,63.7,51.8
2026-07-16,ICL,ICL GROUP LTD,,MR Discretion,21.0,33.1,12.1
2026-07-16,IDXX,"IDEXX LABORATORIES, INC.",Health Care,Health Care,-1.2,62.5,63.7
2026-07-16,IEF,ISHARES:7-10 TRS BD ETF,Bonds,Bonds,-28.6,26.0,54.6
2026-07-16,IEX,IDEX ,Industrials,Industrials,-6.0,49.0,55.0
2026-07-16,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,Materials,-25.8,41.5,67.3
2026-07-16,INCY,INCYTE ,Health Care,Health Care,19.3,91.7,72.4
2026-07-16,INDA,ISHARES:MSCI INDIA,,Foreign,-57.9,35.9,93.8
