Metric,15D,30D,90D
S&P 500 (SPX),-0.64,-0.54,-0.43
Nasdaq 100 (NDX),-0.7,-0.43,-0.32
Russell 2000 (RUT),-0.76,-0.53,-0.57
Financials (XLF),-0.0,-0.24,-0.29
Utilities (XLU),-0.52,-0.49,-0.27
Long Treasuries (TLT),-0.92,-0.9,-0.86
