Ticker,Ticker_name,Category,Date,qtd_return_pct
APP,APPLOVIN CORP,Information Technology,2026-09-25,-0.3969
GLW,CORNING INC.,Information Technology,2026-09-25,-0.3864
KLAC,KLA ,Information Technology,2026-09-25,-0.3772
LII,LENNOX INTERNATIONAL INC.,Industrials,2026-09-25,-0.3476
GLATF,GLOBAL ATOMIC ,MR Discretion,2026-09-25,-0.3409
BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,2026-09-25,-0.3387
AMAT,"APPLIED MATERIALS, INC.",Information Technology,2026-09-25,-0.3292
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2026-09-25,-0.3186
NRG,"NRG ENERGY, INC.",Utilities,2026-09-25,-0.3128
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2026-09-25,-0.3079
