Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-05-26,NVDA,NVIDIA ,Information Technology,Information Technology,-7.0
2026-05-26,NVR,"NVR, INC.",Consumer Discretionary,Consumer Discretionary,-20.0
2026-05-26,NWSA,NEWS CORP.,Communication Services,Communication Services,-3.0
2026-05-26,NXPI,NXP SEMICONDUCTORS NV,Information Technology,Information Technology,-41.0
2026-05-26,O,REALTY INCOME ,Real Estate,Real Estate,43.0
2026-05-26,ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,Industrials,33.0
2026-05-26,OEF,ISHARES:S&P 100,,Sector & Style ETFs,-23.0
2026-05-26,OKE,"ONEOK, INC.",Energy,Energy,-5.0
2026-05-26,OMC,OMNICOM GROUP INC.,Communication Services,Communication Services,3.0
2026-05-26,ON,ON SEMICONDUCTOR ,Information Technology,Information Technology,-14.0
2026-05-26,ORCL,ORACLE ,Information Technology,Information Technology,-3.0
2026-05-26,ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,Consumer Discretionary,-19.0
2026-05-26,OTIS,OTIS WORLDWIDE ,Industrials,Industrials,6.0
2026-05-26,OXY,OCCIDENTAL PETROLEUM ,Energy,Energy,-11.0
2026-05-26,PAM,PAMPA ENERGIA SA,,MR Discretion,3.0
2026-05-26,PANW,"PALO ALTO NETWORKS, INC.",Information Technology,Information Technology,-9.0
2026-05-26,PAYX,"PAYCHEX, INC.",Industrials,Industrials,-35.0
2026-05-26,PBR,BRAZILIAN PETROLEUM  - PETROBRAS,,MR Discretion,3.0
2026-05-26,PCAR,PACCAR INC,Industrials,Industrials,-7.0
2026-05-26,PCG,PG&E ,Utilities,Utilities,35.0
2026-05-26,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC.,Utilities,Utilities,-5.0
2026-05-26,PEP,"PEPSICO, INC.",Consumer Staples,Consumer Staples,41.0
2026-05-26,PFE,PFIZER INC.,Health Care,Health Care,31.0
2026-05-26,PFF,ISHARES:PREF AND INC SEC,,Bonds,33.0
2026-05-26,PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,Financials,-19.0
2026-05-26,PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,Consumer Staples,36.0
2026-05-26,PGR,THE PROGRESSIVE ,Financials,Financials,-64.0
2026-05-26,PH,PARKER-HANNIFIN ,Industrials,Industrials,27.0
2026-05-26,PHM,"PULTEGROUP, INC.",Consumer Discretionary,Consumer Discretionary,22.0
2026-05-26,PKG,PACKAGING  OF AMERICA,Materials,Materials,-5.0
2026-05-26,PLD,"PROLOGIS, INC.",Real Estate,Real Estate,-17.0
2026-05-26,PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,Information Technology,13.0
2026-05-26,PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,Consumer Staples,-88.0
2026-05-26,PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,Financials,29.0
2026-05-26,PNR,PENTAIR PUBLIC LIMITED COMPANY,Industrials,Industrials,-7.0
2026-05-26,PNW,PINNACLE WEST CAPITAL ,Utilities,Utilities,22.0
2026-05-26,PODD,INSULET ,Health Care,Health Care,30.0
2026-05-26,POOL,POOL ,Consumer Discretionary,Consumer Discretionary,39.0
2026-05-26,POWA,INVESCO BLOOMBERG PRICING POWER,,Sector & Style ETFs,4.0
2026-05-26,PPG,"PPG INDUSTRIES, INC.",Materials,Materials,9.0
2026-05-26,PPL,PPL ,Utilities,Utilities,0.0
2026-05-26,PPLT,ABRDN:PHYSICAL PLATINUM,,Commodities,11.0
2026-05-26,PRU,"PRUDENTIAL FINANCIAL, INC.",Financials,Financials,-43.0
2026-05-26,PSA,PUBLIC STORAGE.,Real Estate,Real Estate,3.0
2026-05-26,PSKY,PARAMOUNT SKYDANCE ,Communication Services,Communication Services,-26.0
2026-05-26,PSX,PHILLIPS 66,Energy,Energy,3.0
2026-05-26,PTC,PTC INC.,Information Technology,Information Technology,-33.0
2026-05-26,PWR,"QUANTA SERVICES, INC.",Industrials,Industrials,-16.0
2026-05-26,PYPL,"PAYPAL HOLDINGS, INC.",Financials,Financials,-44.0
2026-05-26,Q,"QNITY ELECTRONICS, INC.",Information Technology,Information Technology,12.0
2026-05-26,QAT,ISHARES:MSCI QATAR,,Foreign,-1.0
2026-05-26,QCOM,QUALCOMM INC.,Information Technology,Information Technology,-43.0
2026-05-26,QQQ,INVESCO QQQ TRUST 1,,Sector & Style ETFs,-35.0
2026-05-26,QUAL,ISHARES:MSCI USA QF,,Sector & Style ETFs,-26.0
2026-05-26,RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,Consumer Discretionary,12.0
2026-05-26,REG,REGENCY CENTERS ,Real Estate,Real Estate,29.0
2026-05-26,REGN,"REGENERON PHARMACEUTICALS, INC.",Health Care,Health Care,20.0
2026-05-26,RF,REGIONS FINANCIAL ,Financials,Financials,15.0
2026-05-26,RIG,TRANSOCEAN LTD,,MR Discretion,10.0
2026-05-26,RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,Financials,-5.0
2026-05-26,RL,RALPH LAUREN ,Consumer Discretionary,Consumer Discretionary,-34.0
2026-05-26,RMD,RESMED INC.,Health Care,Health Care,4.0
2026-05-26,ROK,"ROCKWELL AUTOMATION, INC.",Industrials,Industrials,-3.0
