Ticker,Ticker_name,Category,Date,volume
INTC,INTEL ,Information Technology,2026-09-25,97.73
NVDA,NVIDIA ,Information Technology,2026-09-25,89.95
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-09-25,62.58
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-09-25,58.33
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-09-25,49.32
TSLA,"TESLA, INC.",Consumer Discretionary,2026-09-25,46.0
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-09-25,44.04
UNG,UNITED STATES NAT GAS,Commodities,2026-09-25,43.66
CMCSA,COMCAST ,Communication Services,2026-09-25,41.81
NKE,"NIKE, INC.",Consumer Discretionary,2026-09-25,38.25
