Ticker,Ticker_name,Category,Date,volume
NVDA,NVIDIA ,Information Technology,2026-08-04,3116.2599999999993
INTC,INTEL ,Information Technology,2026-08-04,2794.3300000000004
T,AT&T INC.,Communication Services,2026-08-04,1996.0099999999998
AAPL,APPLE INC.,Information Technology,2026-08-04,1341.96
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-08-04,1292.4
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2026-08-04,1194.0700000000004
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-08-04,1173.73
NFLX,"NETFLIX, INC.",Communication Services,2026-08-04,1157.6000000000001
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2026-08-04,1125.6100000000001
PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,2026-08-04,1052.94
