Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-05-28,EWP,ISHARES:MSCI SPAIN,,Foreign,-80.0,-43.0,37.0
2026-05-28,EWQ,ISHARES:MSCI FRANCE,,Foreign,-67.0,-3.0,64.0
2026-05-28,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-38.0,-24.0,14.0
2026-05-28,EWT,ISHARES:MSCI TAIWAN,,Foreign,-10.0,1.0,11.0
2026-05-28,EWU,ISHARES:MSCI UK,,Foreign,-60.0,-13.0,47.0
2026-05-28,EWW,ISHARES:MSCI MEXICO,,Foreign,-57.0,14.0,71.0
2026-05-28,EWY,ISHARES:MSCI S KOREA,,Foreign,-38.0,-46.0,-8.0
2026-05-28,EWZ,ISHARES:MSCI BRAZIL,,Foreign,12.0,15.0,3.0
2026-05-28,EXC,EXELON ,Utilities,Utilities,-4.0,57.0,61.0
2026-05-28,EXE,EXPAND ENERGY ,Energy,Energy,7.0,2.0,-5.0
2026-05-28,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,-67.0,-23.0,44.0
2026-05-28,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,63.0,58.0,-5.0
2026-05-28,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,-64.0,-41.0,23.0
2026-05-28,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,-43.0,-43.0,0.0
2026-05-28,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,41.0,-15.0,-56.0
2026-05-28,FAST,FASTENAL COMPANY,Industrials,Industrials,0.0,29.0,29.0
2026-05-28,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,-102.0,-41.0,61.0
2026-05-28,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,-1.0,6.0,7.0
2026-05-28,FDX,FEDEX ,Industrials,Industrials,-37.0,-9.0,28.0
2026-05-28,FE,FIRSTENERGY CORP.,Utilities,Utilities,34.0,66.0,32.0
2026-05-28,FFIV,"F5, INC.",Information Technology,Information Technology,-12.0,-17.0,-5.0
2026-05-28,FICO,FAIR ISAAC ,Information Technology,Information Technology,-9.0,-9.0,0.0
2026-05-28,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,-36.0,-74.0,-38.0
2026-05-28,FISV,"FISERV, INC.",Financials,Financials,-9.0,-5.0,4.0
2026-05-28,FITB,FIFTH THIRD BANCORP,Financials,Financials,-63.0,-5.0,58.0
2026-05-28,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,-18.0,-2.0,16.0
2026-05-28,FOXA,FOX ,Communication Services,Communication Services,14.0,11.0,-3.0
2026-05-28,FRO,FRONTLINE PLC,,MR Discretion,-20.0,8.0,28.0
2026-05-28,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-46.0,-48.0,-2.0
2026-05-28,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,-31.0,-2.0,29.0
2026-05-28,FTI,TECHNIPFMC PLC,,MR Discretion,-66.0,-11.0,55.0
2026-05-28,FTNT,"FORTINET, INC.",Information Technology,Information Technology,-55.0,-60.0,-5.0
2026-05-28,FTV,FORTIVE ,Industrials,Industrials,22.0,36.0,14.0
2026-05-28,FVX,5 YR TSY YLD NDX,Yields,Yields,43.0,-18.0,-61.0
2026-05-28,FXA,INVESCO:AU DOLLAR,,Currencies,-25.0,3.0,28.0
2026-05-28,FXB,INVESCO:GBP STERLING,,Currencies,-30.0,30.0,60.0
2026-05-28,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,-2.0,31.0,33.0
2026-05-28,FXE,INVESCO:EURO,,Currencies,-9.0,26.0,35.0
2026-05-28,FXY,INVESCO:JAPANESE YEN,,Currencies,-8.0,-5.0,3.0
2026-05-28,GD,GENERAL DYNAMICS ,Industrials,Industrials,-47.0,-20.0,27.0
2026-05-28,GDDY,GODADDY INC.,Information Technology,Information Technology,-29.0,-50.0,-21.0
2026-05-28,GDX,VANECK:GOLD MINERS,,Commodities,0.0,0.0,0.0
2026-05-28,GDXJ,VANECK:JR GOLD MINERS,,Commodities,0.0,0.0,0.0
2026-05-28,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,-23.0,-36.0,-13.0
2026-05-28,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,-78.0,-41.0,37.0
2026-05-28,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,-70.0,-70.0,0.0
2026-05-28,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,66.0,14.0,-52.0
2026-05-28,GEV,GE VERNOVA INC.,Industrials,Industrials,1.0,9.0,8.0
2026-05-28,GGB,GERDAU SA,,MR Discretion,-28.0,42.0,70.0
2026-05-28,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,25.0,10.0,-15.0
2026-05-28,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,-7.0,-7.0,0.0
2026-05-28,GL,GLOBE LIFE INC.,Financials,Financials,19.0,37.0,18.0
2026-05-28,GLATF,GLOBAL ATOMIC ,,MR Discretion,-8.0,-3.0,5.0
2026-05-28,GLD,SPDR GOLD,Gold,Commodities,0.0,0.0,0.0
2026-05-28,GLW,CORNING INC.,Information Technology,Information Technology,-8.0,-16.0,-8.0
